+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |  SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/fujiwarataro0/icon                 | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7512/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1651.000  | 1651.000   | 1651.000     | 1651.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/sakamotomikako0/icon               | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7513/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1649.000  | 1649.000   | 1649.000     | 1649.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kimurakenichi0/icon                | 0.216  | 0.216  | 0.216  | 0.216  | 0.216  | 0.216  | 0.216  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7514/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1669.000  | 1669.000   | 1669.000     | 1669.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7539/report                  | 0.304  | 0.304  | 0.304  | 0.304  | 0.304  | 0.304  | 0.304  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7515/reaction                | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1644.000  | 1644.000   | 1644.000     | 1644.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kumiko770/icon                     | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7516/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1652.000  | 1652.000   | 1652.000     | 1652.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/naokitanaka1/icon                  | 0.112  | 0.112  | 0.112  | 0.112  | 0.112  | 0.112  | 0.112  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7517/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1676.000  | 1676.000   | 1676.000     | 1676.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7513/report                  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
